Home,Away,Rodada,prob_PD_gol,prob_PD_gol_Fina_RB,prob_PD_gol_FinC_RB,prob_PD_gol_Fina,prob_PD_gol_FinC,prob_binpo_log,prob_DC,prob_PB,prob_PD_gol_placar,prob_PD_gol_Fina_RB_placar,prob_PD_gol_FinC_RB_placar,prob_PD_gol_Fina_placar,prob_PD_gol_FinC_placar,prob_binpo_log_placar,prob_DC_placar,prob_PB_placar,prob_binpo_p,prob_binpo_p_placar,Defi_PB,RPS_PB,Acerto_PB,Defi_PD_gol,RPS_PD_gol,Acerto_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Acerto_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Acerto_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Acerto_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Acerto_PD_gol_Fina,Defi_DC,RPS_DC,Acerto_DC,Defi_binpo_log,RPS_binpo_log,Acerto_binpo_log,Defi_binpo_p,RPS_binpo_p,Acerto_binpo_p,Defi_palp_br,RPS_palp_br,Acertos_palp_br_binpo_p
Fluminense,América-MG,20,[0.7111 0.2101 0.0783],[0.7247 0.2009 0.0737],[0.6885 0.2232 0.0879],[0.7284 0.199  0.0719],[0.6938 0.2204 0.0854],[0.8058 0.1456 0.0463],[0.6938 0.2108 0.0949],[0.7015 0.2444 0.0537],0.19980930061287225,0.19490179668221855,0.20269778704175487,0.1949821619555923,0.2025982777618736,0.16300196418314472,0.18421664887677142,0.2121,[0.6578 0.24   0.102 ],0.20490949132576933,0.1517173,0.04601461,1,0.13373611000000002,0.04483645000000001,1,0.1545769,0.05241465000000001,1,0.12158258999999999,0.04066297,1,0.14962776000000003,0.05056012000000001,1,0.11853716999999998,0.03951890499999999,1,0.14720109,0.05142992500000001,1,0.06105669000000001,0.020040445000000004,1,0.18510483999999996,0.06377285999999999,1,0.36215801999999997,0.147408885,1
Grêmio,Corinthians,20,[0.3751 0.3044 0.3205],[0.3808 0.3068 0.3123],[0.3673 0.3051 0.3276],[0.3797 0.3048 0.3154],[0.3669 0.3029 0.3302],[0.4841 0.2676 0.2482],[0.3218 0.2834 0.3948],[0.3292 0.3448 0.326 ],0.026728441725297952,0.027373827899151784,0.025610757915204053,0.02734602085238202,0.025682920100003035,0.04558955206231153,0.020420007092636517,0.0146,[0.4475 0.2598 0.2926],0.039005511302765306,0.6751356800000001,0.2781243200000001,0,0.5858796199999999,0.24661013,1,0.60071706,0.25381552500000004,1,0.57506617,0.24050120499999997,1,0.60159606,0.254923825,1,0.5771522900000001,0.24215617500000003,1,0.69613784,0.30791114,0,0.39936581000000004,0.163902855,1,0.45836705,0.19546477499999998,1,0.36215801999999997,0.147408885,1
Vitória,Santa Cruz,20,[0.5359 0.2455 0.2183],[0.548  0.2408 0.2109],[0.5218 0.2509 0.227 ],[0.5566 0.2386 0.2043],[0.5311 0.2487 0.2199],[0.5444 0.2144 0.24  ],[0.568  0.2415 0.1902],[0.5977 0.2636 0.1383],0.045770165569763634,0.046007134074742675,0.045420772865737015,0.04534835973577628,0.04487415863481298,0.06180924197551359,0.03961497281065759,0.0396,[0.4451 0.2662 0.2885],0.04805182208718742,0.91865714,0.18824157000000002,0,0.90411395,0.16748743000000002,0,0.8849550500000001,0.16197031,0,0.92116745,0.17245476500000004,0,0.89487491,0.16527767,0,0.9312720099999999,0.17587342499999997,0,0.9341222899999999,0.17945717,0,0.9711387199999999,0.17727511999999998,0,0.8198087000000001,0.14073086999999998,0,0.8609580199999999,0.156308885,0
Sport,Flamengo,20,[0.4545 0.2573 0.288 ],[0.4534 0.2569 0.2895],[0.4438 0.2598 0.2962],[0.4588 0.2556 0.2854],[0.4498 0.2583 0.2917],[0.3273 0.2354 0.4368],[0.433  0.2379 0.3287],[0.4608 0.2682 0.2706],0.10790023872923334,0.10700571339355044,0.10805324762308142,0.10691157801179331,0.10787639826072451,0.06307362098175251,0.08117793733598767,0.0993,[0.4696 0.2519 0.2783],0.10508997027955545,0.43589224,0.1820889,1,0.44671753999999997,0.190314765,1,0.46458892,0.19860571999999999,1,0.44857941999999995,0.191348845,1,0.45452782,0.19396284500000002,1,0.43968196000000004,0.18723242,1,0.4861291,0.21489798499999999,1,0.69873269,0.3218784150000001,0,0.42222866,0.17944322499999998,1,0.36215801999999997,0.147408885,1
Santos,Atlético-MG,20,[0.6413 0.1984 0.1588],[0.6339 0.2021 0.1626],[0.6168 0.2101 0.172 ],[0.6486 0.195  0.1546],[0.6317 0.203  0.1639],[0.6249 0.1831 0.1881],[0.5863 0.2076 0.2048],[0.6447 0.2167 0.1371],0.07366087499850922,0.0726041422892738,0.06977007043548154,0.07486990868502788,0.07220930643263643,0.05774100350886506,0.059694766915504315,0.0649,[0.4766 0.205  0.3161],0.03364999829987594,0.19199338999999999,0.07272514999999997,1,0.19324569000000003,0.07718201500000002,1,0.22056825,0.08840353,1,0.20131237999999999,0.08046358499999998,1,0.20371709999999996,0.08148546999999998,1,0.18540812000000004,0.07397308000000002,1,0.25618849,0.10681329499999997,1,0.20960722999999998,0.08878960999999998,1,0.41589176999999994,0.187665705,1,0.36215801999999997,0.147408885,1
Cruzeiro,Coritiba,20,[0.5112 0.2404 0.248 ],[0.5218 0.2391 0.2387],[0.5027 0.24   0.257 ],[0.5206 0.2408 0.2382],[0.5014 0.2419 0.2563],[0.437  0.2319 0.3305],[0.4934 0.2353 0.2709],[0.5439 0.2584 0.1972],0.05339996975822663,0.052297552107038826,0.05506542957311075,0.051523319532201184,0.054151765176148704,0.06616374540533809,0.05778699215984567,0.0529,[0.474  0.2734 0.2525],0.040974536616921416,0.8846856100000001,0.16745637500000002,0,0.8998216000000001,0.16151407999999998,0,0.89635629,0.159455335,0,0.90822174,0.164722105,0,0.8918072600000001,0.15864850500000002,0,0.9041482399999999,0.16397724,0,0.9015964599999999,0.15852370500000001,0,0.89017686,0.15029828499999998,0,0.8163798099999999,0.144241385,0,0.8609580199999999,0.156308885,0
São Paulo,Botafogo,20,[0.5587 0.2463 0.1947],[0.5558 0.2515 0.1924],[0.5323 0.2573 0.2102],[0.5677 0.2443 0.1877],[0.5442 0.2507 0.2048],[0.6908 0.1776 0.1288],[0.5239 0.2317 0.2439],[0.5494 0.2658 0.1844],0.07090729440042708,0.07384876658048933,0.07824059252434361,0.06957862787296759,0.07390783268533538,0.03560692582751631,0.06374555255466244,0.0643,[0.4463 0.2805 0.2731],0.09931352318584585,1.03769336,0.4831957799999999,0,1.02131747,0.4800853899999999,0,0.97333062,0.45340574499999997,0,1.0243836499999999,0.4803235099999999,0,0.99134717,0.46400986999999994,0,1.04179707,0.49081368999999997,0,0.8998433100000001,0.42270141000000006,0,1.2677358399999998,0.61566552,0,0.8062475499999999,0.36371097,0,0.91675802,0.424708885,0
Ponte Preta,Figueirense,20,[0.4814 0.2703 0.2482],[0.5064 0.2626 0.2309],[0.4603 0.2725 0.2671],[0.5048 0.2651 0.2299],[0.4606 0.2746 0.2646],[0.4424 0.2621 0.2953],[0.4508 0.2594 0.2897],[0.4815 0.3089 0.2094],0.09571132145928067,0.10055154134408364,0.08983984897462528,0.10138814464500626,0.0908695709743652,0.07967259608313793,0.08172213335982373,0.0871,[0.6045 0.2403 0.1549],0.12996330589126537,0.40810981999999996,0.15638722499999996,1,0.4036112899999999,0.16529942999999994,1,0.43687475000000014,0.18133597000000004,1,0.36591453,0.14850098500000003,1,0.43637068,0.18053571999999996,1,0.36835505999999996,0.14908454499999996,1,0.45283509000000005,0.19280234500000004,1,0.46681626,0.19911902499999998,1,0.23815835,0.09025369,1,0.36215801999999997,0.147408885,1
Atlético-PR,Palmeiras,20,[0.3618 0.2953 0.3428],[0.367  0.2929 0.3401],[0.3598 0.2898 0.3504],[0.3651 0.2969 0.338 ],[0.3591 0.2938 0.347 ],[0.3636 0.2784 0.3579],[0.3961 0.3018 0.302 ],[0.4222 0.3352 0.2425],0.12308401370276159,0.12028040338348722,0.119574994127677,0.12344363405683995,0.12261035575975131,0.1099752611165879,0.1236300378196718,0.1004,[0.2667 0.2627 0.4705],0.12061668035257482,0.8644181300000001,0.37595380500000014,0,0.65001317,0.28133983,0,0.63542024,0.27571809999999997,0,0.65594742,0.285078505,0,0.6416802500000001,0.27761561500000004,0,0.6596916199999999,0.28577100499999997,0,0.7351824499999999,0.321979815,0,0.62200393,0.272184485,0,0.4205104300000001,0.17569663,1,0.91675802,0.424708885,0
Chapecoense,Internacional,20,[0.4995 0.2389 0.2612],[0.4969 0.2404 0.2624],[0.4852 0.2423 0.2721],[0.5083 0.2376 0.2537],[0.497  0.2398 0.2628],[0.4319 0.228  0.3394],[0.4989 0.221  0.2792],[0.5408 0.252  0.2066],0.09603141847880538,0.09734766534153982,0.096321809492171,0.09730927160984995,0.09649635682376081,0.063957058123198,0.07324978932084239,0.1082,[0.4989 0.254  0.2469],0.1188858253691863,0.31705220000000006,0.12689842,1,0.37579889999999994,0.159467485,1,0.3977667399999999,0.16963772499999996,1,0.37975552999999995,0.16106049499999997,1,0.37957688,0.1611417,1,0.36258634,0.15316793,1,0.37789485,0.164779015,1,0.48991397000000003,0.21920305500000004,1,0.37657682,0.15607982999999997,1,0.36215801999999997,0.147408885,1
Flamengo,Grêmio,21,[0.4052 0.3016 0.2932],[0.4025 0.3042 0.2932],[0.3897 0.3053 0.305 ],[0.4141 0.2997 0.2861],[0.4005 0.3011 0.2984],[0.5079 0.2401 0.2516],[0.434  0.2568 0.3092],[0.4428 0.3297 0.2275],0.07575738565126769,0.07466795289834742,0.07334273400041497,0.07693919061529989,0.07559576123526,0.09640636523685357,0.08411351096786168,0.0852,[0.404  0.2759 0.3201],0.08344264276497351,0.4709301799999999,0.18111404499999995,1,0.5307158399999999,0.21987664,1,0.5586991800000001,0.23274554500000003,1,0.5355101299999999,0.22151557499999994,1,0.5391040199999999,0.22422140499999996,1,0.5149521100000001,0.21259462999999998,1,0.48190688000000004,0.20798032000000005,1,0.36311298000000003,0.152833285,1,0.53380082,0.228840005,1,0.36215801999999997,0.147408885,1
Atlético-MG,Atlético-PR,21,[0.5094 0.2645 0.226 ],[0.5285 0.2624 0.209 ],[0.5202 0.2638 0.2158],[0.5162 0.263  0.2206],[0.5073 0.2646 0.228 ],[0.6056 0.2142 0.1793],[0.445  0.2546 0.3003],[0.4708 0.2977 0.2313],0.13955751001992375,0.1459391326258672,0.14388379766147227,0.14059677756682112,0.13865608427638682,0.10505286062161089,0.13813144636606542,0.1364,[0.5665 0.2342 0.1988],0.11907613150392969,0.42217762000000003,0.166822465,1,0.36172461000000006,0.14590479,1,0.34636811999999995,0.13843203999999998,1,0.33484701000000006,0.13301753500000002,1,0.36475045000000006,0.147391455,1,0.35189580000000004,0.14140756,1,0.4630262499999999,0.19913258499999997,1,0.23358148999999997,0.09401210499999997,1,0.28229333,0.11382149500000001,1,0.36215801999999997,0.147408885,1
Palmeiras,Ponte Preta,21,[0.7738 0.1359 0.0828],[0.7761 0.1342 0.0817],[0.7608 0.1397 0.0918],[0.7792 0.1345 0.0789],[0.7648 0.1398 0.0883],[0.7907 0.1227 0.0752],[0.7158 0.151  0.1286],[0.7845 0.1362 0.0706],0.03503990668879898,0.03495345565206746,0.03845054376825971,0.03340304271777434,0.03674636082973528,0.034509851494728794,0.04504068752433405,0.0344,[0.5682 0.2362 0.1951],0.04402540257149512,1.3665750499999998,0.3109022149999999,0,1.35229109,0.30348839000000005,0,1.3273599700000003,0.29438809,0,1.35861574,0.30522065,0,1.3326599700000001,0.29703530499999997,0,1.3624680999999998,0.30732754500000004,0,1.2497086,0.26506651999999997,0,1.4005168199999998,0.31641800499999995,0,0.9443056900000002,0.18055542500000002,0,0.8609580199999999,0.156308885,0
Internacional,São Paulo,21,[0.4125 0.3253 0.2622],[0.4098 0.3285 0.2616],[0.3993 0.3285 0.2722],[0.4168 0.3248 0.2584],[0.4058 0.3255 0.2687],[0.5201 0.2758 0.204 ],[0.3865 0.2701 0.3434],[0.3595 0.3771 0.2634],0.13057993829156514,0.13016520268807535,0.1312040687514453,0.13023919204423684,0.13120781682021762,0.12289810627865519,0.12265211114929135,0.1383,[0.3885 0.321  0.2905],0.1332909497043354,0.58662422,0.09930990500000002,1,0.6941251800000001,0.119452545,0,0.68444558,0.11676666499999999,0,0.68728285,0.11821147000000001,0,0.69182358,0.11843666499999997,0,0.6963878400000001,0.12024639999999999,0,0.80005982,0.133652905,0,0.83658565,0.156080415,0,0.6963635000000001,0.11766125,0,0.8609580199999999,0.156308885,0
Santa Cruz,Fluminense,21,[0.3648 0.3025 0.3327],[0.3662 0.3026 0.3311],[0.3603 0.301  0.3387],[0.3672 0.3027 0.3301],[0.362  0.3008 0.3371],[0.3266 0.287  0.3864],[0.297  0.2676 0.4354],[0.2768 0.3696 0.3536],0.1270533642220627,0.1268097434895261,0.12714046545782837,0.12665425827639862,0.12667136218905062,0.12514311053887192,0.1511409050425242,0.1497,[0.3723 0.3039 0.3238],0.1262408468990219,0.63105536,0.2472256,0,0.66987458,0.289184165,0,0.65773478,0.28356689,0,0.6730964100000001,0.29069794500000007,0,0.66096105,0.28517392500000005,0,0.6752291399999999,0.29180092500000004,0,0.47859192,0.20349108,1,0.5655415199999998,0.24158625999999994,1,0.68820894,0.29792686500000004,0,0.91675802,0.424708885,0
Coritiba,Santos,21,[0.24   0.2661 0.4938],[0.2481 0.2665 0.4852],[0.2117 0.2553 0.5328],[0.2592 0.2713 0.4694],[0.2233 0.2614 0.5151],[0.2806 0.244  0.4751],[0.2057 0.2212 0.5727],[0.1993 0.3045 0.496 ],0.057662524593310116,0.05947681884068356,0.05242993929922826,0.06111784827117908,0.05435978635695282,0.0691787509553585,0.05045386732646778,0.0493,[0.4187 0.2413 0.3396],0.08873501533728587,0.9798567399999999,0.443667485,0,0.89224765,0.41076861000000003,0,0.9704708200000001,0.45275296499999995,0,0.8717949,0.400483405,0,0.9369208599999999,0.43439850999999996,0,0.84272469,0.3846074500000001,0,1.00782722,0.47967813,0,0.8027923700000001,0.37177080500000004,0,0.5114635399999999,0.22675492499999997,1,0.36215801999999997,0.147408885,1
Figueirense,Cruzeiro,21,[0.4648 0.2671 0.268 ],[0.4572 0.2654 0.2772],[0.4632 0.2663 0.2704],[0.4584 0.2678 0.2737],[0.4642 0.2685 0.2672],[0.5774 0.233  0.1891],[0.4119 0.2383 0.3496],[0.3951 0.3192 0.2857],0.06380802639361366,0.06604370238066301,0.06446268177097983,0.06489062831690172,0.06338477020482464,0.049622574036770305,0.07797931203983793,0.0665,[0.3001 0.281  0.4188],0.08331730133019226,0.76821714,0.33316424999999994,0,0.8232054499999999,0.37585833,0,0.81778609,0.37336225000000006,0,0.8019088400000001,0.36559132,0,0.82456973,0.37616547000000006,0,0.8093590899999998,0.368748505,0,0.6494686599999999,0.296210845,0,1.04523857,0.49506958500000003,0,0.5068144499999999,0.21386861499999996,1,0.91675802,0.424708885,0
Corinthians,Vitória,21,[0.6833 0.1956 0.1199],[0.7024 0.1873 0.1088],[0.6683 0.2031 0.1275],[0.6964 0.1901 0.1121],[0.6623 0.2057 0.131 ],[0.7841 0.1383 0.0722],[0.5987 0.2048 0.1958],[0.6532 0.2192 0.1264],0.09471369296496399,0.0932365373853146,0.09508577099374946,0.093670936761515,0.0953148923809637,0.08573293574591208,0.09897164355784904,0.0998,[0.5989 0.2121 0.1879],0.09953820154506916,0.18429584000000002,0.06827671999999999,1,0.15293426,0.057482769999999996,1,0.16753075,0.06328203,1,0.13548448999999999,0.05036704999999998,1,0.17351478,0.065733145,1,0.14087737999999997,0.05252858499999998,1,0.24132237,0.09982721499999998,1,0.07095253999999998,0.026331864999999996,1,0.24117403,0.09830171000000001,1,0.36215801999999997,0.147408885,1
Botafogo,Sport,21,[0.4838 0.2234 0.2919],[0.5134 0.2208 0.2648],[0.4668 0.2304 0.3022],[0.5088 0.2188 0.2713],[0.4642 0.2277 0.3074],[0.4289 0.225  0.3453],[0.445  0.1994 0.354 ],[0.4939 0.232  0.2728],0.040737897385507836,0.04572595608038918,0.039314701166648314,0.044214753795066654,0.038340766629318145,0.0324570672289527,0.031024770813248684,0.0364,[0.4563 0.2404 0.3029],0.039103392794569175,0.38438105,0.165634855,1,0.40157560999999997,0.176097545,1,0.42871124,0.18799521999999996,1,0.35565124000000004,0.15371510000000002,1,0.4334236900000001,0.19100387000000008,1,0.36275457,0.15774020499999997,1,0.4731013599999999,0.21723945999999997,1,0.49601229999999996,0.22297052999999994,1,0.4451502600000001,0.19380037000000006,1,0.36215801999999997,0.147408885,1
América-MG,Chapecoense,21,[0.2725 0.2755 0.4519],[0.2756 0.2735 0.4509],[0.2626 0.2759 0.4613],[0.2763 0.2741 0.4495],[0.2634 0.2761 0.4604],[0.3387 0.2401 0.4208],[0.2775 0.2506 0.4718],[0.2504 0.332  0.4175],0.0868296571651132,0.08739944010011087,0.08699397151213775,0.08715401740034376,0.08690388843741835,0.08886068458740487,0.08804039425201957,0.0831,[0.2151 0.2812 0.5036],0.08432541603351237,0.51223041,0.200944965,1,0.4505701100000001,0.18728013000000004,1,0.43527725999999994,0.179470525,1,0.4522684199999999,0.18873308500000002,1,0.43677893000000007,0.18021991000000004,1,0.45452275,0.18964093,1,0.41880185,0.177947935,1,0.5078383399999999,0.224863645,1,0.37175441,0.14629085500000003,1,0.91675802,0.424708885,0
Cruzeiro,Santa Cruz,22,[0.5423 0.232  0.2251],[0.5595 0.2282 0.2116],[0.5187 0.2376 0.2432],[0.57   0.2256 0.2037],[0.5302 0.2353 0.234 ],[0.4679 0.228  0.3034],[0.5775 0.2029 0.2188],[0.6301 0.2209 0.1478],0.0918422100088301,0.09557554763605071,0.08764073853064538,0.09770940946397744,0.08998579132611197,0.064449400644831,0.09275545541558941,0.1043,[0.5188 0.2577 0.2233],0.10233283875621442,0.20746766,0.079514225,1,0.31398329999999997,0.13021507,1,0.34724969,0.14551981499999994,1,0.29089005,0.119556015,1,0.33083413000000006,0.13785126999999997,1,0.27728905000000004,0.11333992500000002,1,0.26754809999999996,0.113365525,1,0.42716597,0.18780385500000002,1,0.34782561999999995,0.14075286499999998,1,0.36215801999999997,0.147408885,1
