Home,Away,Rodada,prob_PB,prob_PD_gol,prob_PD_gol_FinC_RB,prob_PD_gol_Fina_RB,prob_PD_gol_FinC,prob_PD_gol_Fina,prob_DC,prob_binpo_log,prob_binpo_p,prob_PB_placar,prob_PD_gol_placar,prob_PD_gol_FinC_placar,prob_PD_gol_Fina_placar,prob_DC_placar,prob_binpo_log_placar,prob_binpo_p_placar,Defi_PB,RPS_PB,Defi_PD_gol,RPS_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Defi_DC,RPS_DC,Defi_binpo_log,RPS_binpo_log,Defi_binpo_p,RPS_binpo_p,Defi_palp_br,RPS_palp_br
São Paulo,Cruzeiro,20,[0.2367 0.3042 0.4591],[0.2959 0.3117 0.3924],[0.3042 0.3094 0.3863],[0.3241 0.3184 0.3574],[0.2949 0.311  0.3941],[0.3154 0.3205 0.3641],[0.2405 0.2794 0.48  ],[0.3636 0.2822 0.3542],[0.3868 0.3081 0.3051],0.0106,0.009256056871047356,0.00931819012490043,0.008743527948282662,0.011329480611752343,0.01735211142420404,0.011832083721292743,0.88593734,0.39669984999999997,0.7468914599999998,0.324867285,0.72909369,0.316721305,0.68595413,0.29232353499999997,0.7492018200000001,0.32624041000000004,0.70396622,0.30062298499999995,0.8853046099999999,0.40366813500000004,0.61009944,0.26523130000000006,0.5640258599999999,0.234550125,0.36215801999999997,0.147408885
Atlético-GO,Coritiba,20,[0.3091 0.2756 0.4153],[0.2826 0.2681 0.4492],[0.2715 0.267  0.4614],[0.3138 0.2707 0.4153],[0.2761 0.2679 0.4559],[0.3178 0.2709 0.4113],[0.2976 0.2665 0.4358],[0.2351 0.2335 0.5309],[0.3661 0.2959 0.338 ],0.0922,0.09060893652417948,0.08989730823373078,0.09660587367907819,0.08640474678511403,0.06198237350191369,0.1290037491789264,0.7257722600000002,0.32490845000000007,0.7883210100000001,0.3582666300000001,0.8148912099999999,0.371847255,0.7166230199999999,0.3217553649999999,0.80364643,0.36598360999999996,0.7079513399999998,0.31728226499999995,0.75430965,0.34168729000000003,0.9214490700000002,0.43372911000000003,0.60363002,0.25803660500000003,0.36215801999999997,0.147408885
Vasco,Palmeiras,20,[0.2094 0.2473 0.5428],[0.2452 0.2419 0.5125],[0.2349 0.2378 0.5269],[0.2527 0.2568 0.4903],[0.2407 0.2393 0.5196],[0.2565 0.2573 0.486 ],[0.208  0.2348 0.5566],[0.3158 0.2577 0.4264],[0.3747 0.286  0.3393],0.114,0.11474556650081026,0.1134089050003524,0.12220035096111667,0.11159536215659017,0.12242985929181911,0.13301482257085662,0.90503749,0.16951175,0.8974949000000001,0.16159480500000004,0.91375046,0.16661173,0.8565976200000001,0.15222379,0.9065851399999998,0.16416832500000003,0.85359154,0.15109136499999998,0.9385986,0.1768681,0.8325558900000001,0.14081595,0.7653205799999999,0.12776229,0.8609580199999999,0.156308885
Atlético-MG,Flamengo,20,[0.2578 0.2885 0.4537],[0.2758 0.2905 0.4336],[0.2773 0.2841 0.4386],[0.2844 0.3028 0.4128],[0.2739 0.2867 0.4394],[0.2809 0.3047 0.4143],[0.2545 0.2728 0.4725],[0.2955 0.2471 0.4571],[0.3105 0.3525 0.337 ],0.0418,0.04920091322947829,0.04839584292857617,0.05149594436556294,0.043014650419964856,0.045081629366415715,0.06099541453713776,0.8399367799999999,0.37835226499999997,0.79686485,0.35628067,0.7953780599999999,0.35733262499999996,0.7741750399999999,0.34124360000000004,0.80249046,0.36014678499999997,0.7815913900000001,0.34441609000000006,0.8534463400000001,0.38960779,0.76631907,0.35276755000000004,0.7132355,0.294489625,0.36215801999999997,0.147408885
Sport,Ponte Preta,20,[0.5806 0.2303 0.1884],[0.5427 0.2314 0.2253],[0.5345 0.2362 0.2288],[0.5664 0.2317 0.2013],[0.5377 0.2325 0.2292],[0.5696 0.2284 0.2014],[0.5593 0.233  0.2071],[0.4358 0.2454 0.3184],[0.6144 0.2188 0.166 ],0.0623,0.05664495269123364,0.05675912301133719,0.06056462368786573,0.06166992936495095,0.05505422641159464,0.06397126316050977,0.96502901,0.18642783000000002,0.9360293399999999,0.17277722999999995,0.9214301300000001,0.169134495,0.95161554,0.180786465,0.9307101799999999,0.17096484499999998,0.9603726800000001,0.18262425999999998,0.9439959000000001,0.17797807,0.8607213599999999,0.14577762000000002,1.0153168,0.20265511999999997,0.8609580199999999,0.156308885
Vitória,Avaí,20,[0.5431 0.2691 0.1877],[0.5344 0.2899 0.1757],[0.5145 0.2983 0.1871],[0.5796 0.2642 0.1561],[0.5267 0.2948 0.1784],[0.5904 0.2603 0.149 ],[0.5248 0.2677 0.2073],[0.6186 0.2115 0.1689],[0.6206 0.2449 0.1343],0.0766,0.09009868808535255,0.09263196246983316,0.07377992808788573,0.08099207807005133,0.05066435092840201,0.06585380490520171,1.0272037100000002,0.4773132300000001,1.04909586,0.48252692500000005,1.01449955,0.46267705,1.1179050099999999,0.523967305,1.0393464899999998,0.4761375749999999,1.14052925,0.53613137,0.9754516200000001,0.451735665,1.11812542,0.535866485,1.19455686,0.567117325,0.91675802,0.424708885
Atlético-PR,Bahia,20,[0.4896 0.2938 0.2165],[0.4185 0.2788 0.3026],[0.3883 0.2875 0.3241],[0.4274 0.2708 0.3017],[0.4097 0.2815 0.3087],[0.4462 0.2654 0.2883],[0.4734 0.2893 0.2372],[0.5697 0.2376 0.1923],[0.476  0.2454 0.2783],0.0131,0.01154611346525372,0.010817530866289948,0.014941409804389058,0.011727494208603532,0.02374626534154066,0.020759594846993634,0.39369885,0.153711865,0.50743845,0.214884775,0.5618739500000001,0.23964127000000005,0.49222629,0.20947700500000002,0.5229920299999999,0.22190577,0.46024849000000007,0.19493450500000004,0.41726589,0.16680942999999998,0.27859114,0.11114577,0.41224805000000003,0.17609702500000002,0.36215801999999997,0.147408885
Botafogo,Grêmio,20,[0.2277 0.2868 0.4854],[0.2609 0.2722 0.4668],[0.2496 0.2704 0.4799],[0.266  0.2693 0.4646],[0.2601 0.2719 0.4678],[0.2754 0.2695 0.455 ],[0.2305 0.2653 0.504 ],[0.2206 0.2257 0.553 ],[0.2189 0.2375 0.5431],0.0902,0.09188464102783611,0.09158146881591149,0.09114923140847682,0.08110304080811485,0.056764672876158245,0.06529974814112116,0.91431469,0.416078775,0.83826389,0.382132215,0.86652033,0.39675008500000003,0.82713165,0.37735105,0.84021846,0.383238025,0.80470041,0.36608059000000004,0.91653034,0.42317396499999993,0.9642138499999999,0.45702426999999995,0.96148107,0.4528092100000001,0.36215801999999997,0.147408885
Chapecoense,Corinthians,20,[0.0467 0.1515 0.7994],[0.0899 0.1843 0.7244],[0.079  0.1689 0.7501],[0.1192 0.2107 0.6694],[0.0867 0.1799 0.7319],[0.1271 0.2191 0.6532],[0.0562 0.143  0.7973],[0.1456 0.2131 0.6404],[0.4002 0.2668 0.3329],0.1587,0.14864557355673505,0.14633069879556504,0.15447071865165402,0.13205581102044156,0.1292827163405696,0.09457904470556891,0.0653735,0.020734944999999998,0.11800385999999996,0.041634805,0.09721822,0.03384970500000001,0.16789949,0.06152156999999999,0.11175851,0.039297349999999995,0.18442946,0.06800460499999998,0.06469472999999999,0.021425664999999997,0.19592313,0.07493293000000001,0.67636469,0.30252452500000004,0.91675802,0.424708885
Santos,Fluminense,20,[0.5324 0.2982 0.1693],[0.5465 0.2615 0.1918],[0.5431 0.2612 0.1955],[0.5938 0.235  0.1708],[0.5415 0.2637 0.1946],[0.5928 0.2368 0.17  ],[0.5183 0.2836 0.1981],[0.5437 0.2294 0.2263],[0.3728 0.2492 0.3777],0.1481,0.10301630375834488,0.10465943242532842,0.08261490978457192,0.12563266529544012,0.05421254491343554,0.05671221649201539,0.80463549,0.15607306499999998,0.8808317399999999,0.16776314499999995,0.8790032999999999,0.16662807000000002,0.96699608,0.19095402000000003,0.8732290999999998,0.165584665,0.96278608,0.19022408,0.8211074599999998,0.15393924999999997,0.94064574,0.17354683,0.8453377700000002,0.14093196500000002,0.8609580199999999,0.156308885
