Home,Away,Rodada,prob_PD_gol,prob_PD_gol_Fina_RB,prob_PD_gol_FinC_RB,prob_PD_gol_Fina,prob_PD_gol_FinC,prob_binpo_log,prob_DC,prob_PB,prob_PD_gol_placar,prob_PD_gol_Fina_RB_placar,prob_PD_gol_FinC_RB_placar,prob_PD_gol_Fina_placar,prob_PD_gol_FinC_placar,prob_binpo_log_placar,prob_DC_placar,prob_PB_placar,prob_binpo_p,prob_binpo_p_placar,Defi_PB,RPS_PB,Acertos_PB,Defi_PD_gol,RPS_PD_gol,Acertos_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Acertos_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Acertos_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Acertos_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Acertos_PD_gol_Fina,Defi_DC,RPS_DC,Acertos_DC,Defi_binpo_log,RPS_binpo_log,Acertos_binpo_log,Defi_binpo_p,RPS_binpo_p,Acertos_binpo_p,Defi_palp_br,RPS_palp_br,Acertos_palp_br_binpo_p
Flamengo,Atlético-MG,26,[0.6032 0.2183 0.1777],[0.6148 0.2165 0.1679],[0.5949 0.2223 0.1821],[0.6163 0.2148 0.168 ],[0.5946 0.2212 0.1835],[0.6555 0.1753 0.1646],[0.4147 0.2466 0.3381],[0.5534 0.2591 0.1871],0.0991062044120379,0.09870767080882746,0.09885497434984804,0.09891956995363173,0.09904760395830275,0.09205250438182636,0.08801279272763857,0.0986,[0.4724 0.2269 0.2999],0.09212423536595496,0.30159078,0.117303985,1,0.23668242000000006,0.09465656500000004,1,0.24668371000000003,0.09876117000000002,1,0.2234417,0.08841968499999998,1,0.24695085,0.09913964499999998,1,0.22158873,0.08787685500000002,1,0.5176992599999999,0.22864706999999995,1,0.17650350000000004,0.07366502500000001,1,0.4197853800000001,0.18439144500000001,1,0.36215801999999997,0.147408885,1
Atlético-PR,Paraná,26,[0.7491 0.1927 0.0575],[0.7521 0.1875 0.0596],[0.7439 0.1959 0.0596],[0.7532 0.1884 0.0576],[0.7443 0.1973 0.0578],[0.7193 0.1816 0.0975],[0.6521 0.2312 0.1161],[0.7859 0.1802 0.0327],0.11987246402518843,0.12064943407882066,0.117795525206793,0.12131545690078388,0.11802912838236182,0.10153813503920348,0.08644404294337088,0.1137,[0.5831 0.2849 0.1319],0.0649014019495304,0.07938013999999999,0.023494729999999988,1,0.10339035,0.03316927000000001,1,0.10751617999999999,0.034605805,1,0.10016282000000001,0.032551605000000004,1,0.10765062000000002,0.034396705000000014,1,0.09972256000000002,0.032160720000000004,1,0.18796706,0.06732683,1,0.12127729999999998,0.04430792999999998,1,0.27237123,0.09561481000000002,1,0.36215801999999997,0.147408885,1
São Paulo,América-MG,26,[0.744  0.1806 0.0742],[0.7608 0.1706 0.0671],[0.7359 0.1846 0.0783],[0.76   0.1717 0.0669],[0.7345 0.1862 0.0782],[0.7604 0.1511 0.0844],[0.6278 0.2358 0.1359],[0.735  0.2201 0.0443],0.07813106822923499,0.07379256427249378,0.08033545035887983,0.07379578799056624,0.080479984650652,0.07179906200118687,0.11007811161999034,0.0703,[0.6452 0.2158 0.1382],0.10123073843041883,1.1504314999999998,0.271120685,0,1.230458,0.2796113,0,1.21255686,0.27393525,0,1.27122341,0.291762425,0,1.20787593,0.272889975,0,1.2681565000000001,0.291133425,0,0.99660329,0.206369025,0,1.30596273,0.29302860999999997,0,1.05035192,0.21780233999999998,0,0.8609580199999999,0.156308885,0
Vasco,Bahia,26,[0.4969 0.2594 0.2435],[0.4864 0.2634 0.25  ],[0.4878 0.2598 0.2523],[0.4986 0.2613 0.2399],[0.5002 0.2575 0.2421],[0.4356 0.2367 0.3272],[0.3308 0.2572 0.4117],[0.4422 0.302  0.2556],0.09259820047640255,0.09134216125298132,0.09235953927552341,0.09203113040811074,0.09312650180188263,0.09010007209466274,0.07849485757637968,0.0887,[0.3681 0.3265 0.3053],0.06441010296356547,0.4676762000000001,0.18828726000000004,1,0.37969021999999997,0.15624966999999998,1,0.39350017,0.16302730499999998,1,0.3956645200000001,0.16319252,1,0.3747187,0.154254685,1,0.3772316600000001,0.15452500500000002,1,0.68347737,0.308786365,0,0.48163409,0.21296744999999997,1,0.59910795,0.24628339000000002,1,0.36215801999999997,0.147408885,1
Chapecoense,Fluminense,26,[0.5339 0.2494 0.2165],[0.5429 0.2475 0.2093],[0.5265 0.2506 0.2227],[0.5428 0.2472 0.2097],[0.5255 0.2506 0.2237],[0.4805 0.2476 0.2716],[0.4341 0.2623 0.3033],[0.5884 0.2622 0.149 ],0.054611637361888586,0.05304414651060195,0.0559959525221645,0.05317251275549199,0.056237621921862976,0.06722173754913408,0.07419743716185576,0.039,[0.4588 0.3075 0.2337],0.04749850094935525,1.1391644,0.53486754,0,0.96112182,0.4493040700000001,0,0.9441978999999999,0.4405433499999999,0,0.98120315,0.45973633,0,0.9415922999999999,0.43924074999999996,0,0.98031377,0.4593659649999999,0,0.74263499,0.33670792999999993,0,0.8227525699999999,0.38050497499999997,0,0.8922693799999999,0.398856565,0,0.91675802,0.424708885,0
Vitória,Botafogo,26,[0.4781 0.2656 0.2561],[0.4906 0.2611 0.2482],[0.4798 0.2646 0.2554],[0.4842 0.2647 0.2509],[0.4734 0.268  0.2585],[0.6107 0.2134 0.1749],[0.3584 0.2737 0.3677],[0.4589 0.3193 0.2218],0.0017189495999539077,0.0017880323812030975,0.0017525743179621304,0.0016774813493943667,0.0016551626125323805,0.002292065141822105,0.0037481837567200403,0.0018,[0.3792 0.3132 0.3076],0.0007400111699469714,0.9181369399999999,0.408092225,0,0.85251018,0.39083467000000005,0,0.8546503599999999,0.39216971999999994,0,0.8740648099999999,0.40287063000000006,0,0.84575381,0.3868907650000001,0,0.86566654,0.397650445,0,0.60316554,0.26400050499999994,1,1.09928406,0.5260481499999999,0,0.72130464,0.3116051999999999,0,0.91675802,0.424708885,0
Grêmio,Ceará,26,[0.7017 0.2435 0.0546],[0.7306 0.2238 0.0453],[0.6969 0.2473 0.0556],[0.7296 0.2234 0.0467],[0.6938 0.2481 0.0579],[0.748  0.2135 0.0381],[0.5927 0.2815 0.1257],[0.6799 0.2762 0.0437],0.0027193201406726293,0.002508111714693437,0.002674165653066969,0.0026689566649843797,0.0028587251064213855,0.002074771055449093,0.009209634938611183,0.0102,[0.6287 0.2699 0.1013],0.005875141702261477,0.18066014000000002,0.05219563000000002,1,0.1512563,0.04599298500000001,1,0.15611826,0.04749164500000002,1,0.12471489,0.03732790499999999,1,0.15866446,0.04856704500000001,1,0.12520460999999997,0.037662624999999984,1,0.26093603,0.09085947,1,0.11053786,0.032493205000000004,1,0.22097138999999996,0.07407282999999998,1,0.36215801999999997,0.147408885,1
Cruzeiro,Santos,26,[0.4192 0.3642 0.2165],[0.4289 0.3658 0.2053],[0.4112 0.3671 0.2217],[0.4341 0.3628 0.2031],[0.417  0.3645 0.2185],[0.399  0.2878 0.3132],[0.3086 0.3369 0.3545],[0.3473 0.4432 0.2094],0.05286730930546429,0.05199301485042414,0.05198051453553418,0.05289535690208415,0.05281934506845442,0.07971762271768021,0.060028121145230005,0.059,[0.3142 0.3307 0.3551],0.05687662102520445,0.66629189,0.23495377500000003,0,0.5168425299999999,0.19212210499999996,1,0.5305987400000001,0.197918165,1,0.50211294,0.18415164999999997,1,0.5204914999999999,0.193815625,1,0.49311626000000014,0.18074621000000007,1,0.71720582,0.30185210500000004,0,0.54212408,0.22964761999999997,1,0.70578014,0.29820882499999996,0,0.36215801999999997,0.147408885,1
Sport,Palmeiras,26,[0.168  0.2546 0.5772],[0.1665 0.2573 0.5759],[0.1633 0.2515 0.585 ],[0.1691 0.2581 0.5727],[0.1656 0.2523 0.5819],[0.1485 0.2312 0.6199],[0.0966 0.1838 0.7173],[0.1059 0.2861 0.6079],0.1629095447505943,0.16685174695819768,0.16282232931043206,0.16588183408162369,0.16205226710968573,0.1505407586783904,0.11204530835664331,0.2002,[0.2367 0.2837 0.4795],0.15312226187731,0.24681043,0.08243941,1,0.27180499999999996,0.1034074,1,0.26214414,0.099362985,1,0.27378635,0.10366438999999998,1,0.26588626000000004,0.10103190500000003,1,0.27779571000000003,0.10554733000000001,1,0.12303328999999998,0.043980504999999996,1,0.2199817,0.08311224999999998,1,0.40743282999999997,0.16342152999999998,1,0.91675802,0.424708885,0
Corinthians,Internacional,26,[0.2943 0.3676 0.338 ],[0.2983 0.368  0.3337],[0.2981 0.3776 0.3243],[0.2983 0.3614 0.3403],[0.2985 0.3715 0.33  ],[0.3176 0.3518 0.3305],[0.2194 0.2999 0.4807],[0.2158 0.4436 0.3407],0.12503611646518303,0.12506339160248608,0.12235210079924068,0.12678707651061438,0.12412363524956427,0.12953793714535422,0.1344056474400568,0.1319,[0.2528 0.2436 0.5032],0.11553297023687115,0.47222708999999996,0.081289005,1,0.6007862500000001,0.10046205500000002,1,0.58141586,0.09701705,1,0.59976258,0.10016929,1,0.5930145000000001,0.09900112500000002,1,0.6125969400000001,0.10239349000000002,1,0.76934886,0.139604425,0,0.6302632499999999,0.105083065,1,0.88925904,0.15876047999999998,0,0.8609580199999999,0.156308885,0
