Home,Away,Rodada,prob_PB,prob_PD_gol,prob_PD_gol_FinC_RB,prob_PD_gol_Fina_RB,prob_PD_gol_FinC,prob_PD_gol_Fina,prob_DC,prob_binpo_log,prob_binpo_p,prob_PB_placar,prob_PD_gol_placar,prob_PD_gol_FinC_placar,prob_PD_gol_Fina_placar,prob_DC_placar,prob_binpo_log_placar,prob_binpo_p_placar,Defi_PB,RPS_PB,Defi_PD_gol,RPS_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Defi_DC,RPS_DC,Defi_binpo_log,RPS_binpo_log,Defi_binpo_p,RPS_binpo_p,Defi_palp_br,RPS_palp_br
Flamengo,Santos,26,[0.4146 0.3107 0.2746],[0.35   0.3121 0.3379],[0.349 0.313 0.338],[0.3568 0.3138 0.3294],[0.3463 0.3123 0.3414],[0.3531 0.313  0.3339],[0.3291 0.2357 0.435 ],[0.368  0.2739 0.358 ],[0.2996 0.2888 0.4116],0.1069,0.13632176897277332,0.1374116863434894,0.13597323607853024,0.11484832415257877,0.10545717466038408,0.13407396446841338,0.7946328100000001,0.34897663000000007,0.65828282,0.28043820499999994,0.6580139999999999,0.28002249999999995,0.67548104,0.2885053000000001,0.6512089400000001,0.27683882500000007,0.6663378200000001,0.28418441000000005,0.4830862999999999,0.21365294499999998,0.62260921,0.27372980999999996,0.5193801600000001,0.21798736000000002,0.91675802,0.424708885
Fluminense,Bahia,26,[0.6709 0.2275 0.101 ],[0.6611 0.2224 0.116 ],[0.6448 0.23   0.1248],[0.6717 0.2167 0.111 ],[0.6421 0.2317 0.1258],[0.6694 0.2183 0.1118],[0.5695 0.2158 0.2142],[0.7574 0.1619 0.0782],[0.6956 0.1951 0.1081],0.0946,0.09806224368681418,0.10194430272607424,0.09627915044662079,0.10205917366844913,0.07569146615247851,0.09085752177787638,1.05706406,0.23021486500000002,1.05517097,0.225312855,1.02424208,0.21572112000000002,1.07706078,0.23181790499999996,1.01840294,0.214109505,1.0716504900000001,0.23035394999999997,0.98518153,0.18521329499999997,1.28218161,0.29008674999999995,1.14340898,0.247903645,0.8609580199999999,0.156308885
Coritiba,Atlético-PR,26,[0.5835 0.2661 0.1501],[0.5343 0.2629 0.2027],[0.5234 0.2656 0.2109],[0.5469 0.2573 0.1956],[0.5192 0.2682 0.2125],[0.5418 0.2605 0.1975],[0.5028 0.23   0.2669],[0.5183 0.2379 0.2434],[0.4469 0.2845 0.2685],0.1664,0.1499378903595292,0.1500632334602824,0.150428304467575,0.1270984492177342,0.10172363216590882,0.14089230491742444,0.26681147,0.09804625,0.32708019,0.12900217,0.34216973,0.13583428500000003,0.30976225999999996,0.12181864499999999,0.34825613,0.13818370500000002,0.31681374000000007,0.12451628500000002,0.37134345,0.159301885,0.34787486,0.14573674500000003,0.4589521099999999,0.18903278999999992,0.36215801999999997,0.147408885
Vitória,Botafogo,26,[0.5114 0.2884 0.2001],[0.4861 0.2715 0.2423],[0.468  0.2775 0.2545],[0.4849 0.27   0.245 ],[0.4729 0.2766 0.2504],[0.4917 0.2686 0.2396],[0.4156 0.2365 0.3478],[0.3664 0.2651 0.3684],[0.4475 0.2765 0.2759],0.09,0.08875949578787957,0.08695654925544866,0.08970481582040024,0.0863396500849457,0.08119812708807014,0.08633308497784245,0.36194453000000004,0.13940500500000003,0.39651475,0.16142549,0.4248005,0.173897125,0.39825301,0.162701015,0.41704213,0.170292335,0.38792300999999996,0.15791249499999999,0.51842045,0.23127889000000001,0.6074455299999999,0.26862061,0.45782931,0.19071613,0.36215801999999997,0.147408885
Grêmio,São Paulo,26,[0.5715 0.3174 0.1111],[0.5239 0.2972 0.1789],[0.5253 0.2952 0.1794],[0.525  0.2973 0.1777],[0.5246 0.2952 0.1801],[0.524  0.2974 0.1785],[0.4938 0.2531 0.253 ],[0.4556 0.2578 0.2864],[0.1925 0.2557 0.5517],0.068,0.09366549686895186,0.09316767423615947,0.09367972985934779,0.1062921650796988,0.08230569799751303,0.1481368361684116,1.21749822,0.55837773,1.0370042599999998,0.4743382100000001,1.03646749,0.474580175,1.04018958,0.475901145,1.0345842099999998,0.473638605,1.03788501,0.47463698500000007,0.86590705,0.40084903000000005,0.78325716,0.35825548,0.30341163,0.11896974999999999,0.91675802,0.424708885
Corinthians,Sport,26,[0.5937 0.3152 0.091 ],[0.6103 0.2799 0.1097],[0.6063 0.2804 0.1132],[0.6123 0.2797 0.1079],[0.6075 0.2794 0.113 ],[0.6139 0.2784 0.1076],[0.5493 0.2583 0.1923],[0.6588 0.234  0.1069],[0.4807 0.3291 0.1901],0.0559,0.07149577334909132,0.07091928690507719,0.07249744969844932,0.05560013011082777,0.08769348205251863,0.040932995401127464,0.27271173,0.086689455,0.24224419000000003,0.08196107000000002,0.24643809000000003,0.08391829500000003,0.24018579000000004,0.08098765000000002,0.24488960999999995,0.08342393499999998,0.23815753,0.08033625500000001,0.30682866999999997,0.12007413,0.18260105,0.06395468499999998,0.41411731,0.15292426999999997,0.36215801999999997,0.147408885
Cruzeiro,Internacional,26,[0.6172 0.2323 0.1498],[0.6201 0.2139 0.1651],[0.6245 0.2104 0.1641],[0.6253 0.2131 0.1607],[0.6223 0.2109 0.1658],[0.6225 0.2139 0.1627],[0.5167 0.2081 0.2745],[0.6526 0.1866 0.1582],[0.5395 0.2431 0.217 ],0.0982,0.09879735731976601,0.0991350058270799,0.09860973241601831,0.09590554866235561,0.09741725872217288,0.09650082003173367,0.22293917000000002,0.08459329000000003,0.21733523,0.08594041000000001,0.21219721999999996,0.08412962999999997,0.21163619000000003,0.08325773,0.21462574000000004,0.08524026500000002,0.21473075,0.08463600999999997,0.35223475,0.15465720999999996,0.18053356000000004,0.07327508000000002,0.31824686,0.12966158500000002,0.36215801999999997,0.147408885
Criciúma,Atlético-MG,26,[0.1815 0.3482 0.4703],[0.1907 0.3049 0.5043],[0.1803 0.3041 0.5156],[0.188  0.3047 0.5073],[0.1853 0.3053 0.5093],[0.1944 0.306  0.4995],[0.1721 0.223  0.6046],[0.1991 0.2499 0.5507],[0.1838 0.2895 0.5266],0.0072,0.007803922943884193,0.007292366487241338,0.00805643447732847,0.009409373893098115,0.014171900541402108,0.008279288019585006,1.0123675799999998,0.44556217,1.00224899,0.45469293000000005,1.03022826,0.468875725,1.00953938,0.458348645,1.0163306699999999,0.46161223,0.9921276099999999,0.44929576500000007,1.10068857,0.5256612549999999,1.0071613099999999,0.4725209499999999,1.02730025,0.4717976700000001,0.36215801999999997,0.147408885
Palmeiras,Chapecoense,26,[0.3687 0.3327 0.2986],[0.3916 0.3104 0.2979],[0.3876 0.3109 0.3015],[0.3949 0.3113 0.2938],[0.3885 0.3102 0.3013],[0.3959 0.3103 0.2937],[0.3079 0.2398 0.4522],[0.4508 0.262  0.2871],[0.3979 0.3273 0.2748],0.0043,0.003049249288810342,0.003052034030694694,0.0030709100427629282,0.005100029955354912,0.008714561489568147,0.0021762416670344027,0.5983909399999999,0.24385082499999997,0.55524313,0.22947728500000006,0.56259482,0.23296800500000003,0.54937214,0.226232225,0.56093798,0.23235696999999997,0.5474825900000001,0.22562763000000008,0.74099129,0.34178885499999995,0.45269105000000004,0.19205224500000004,0.54516474,0.21901972500000005,0.36215801999999997,0.147408885
Goiás,Figueirense,26,[0.5543 0.2665 0.179 ],[0.554  0.2699 0.176 ],[0.5504 0.2718 0.1776],[0.5649 0.2645 0.1705],[0.5458 0.2742 0.18  ],[0.5591 0.2673 0.1734],[0.4649 0.2284 0.3065],[0.5107 0.28   0.2092],[0.3905 0.3016 0.3078],0.1488,0.1731887783076776,0.17466428226094352,0.17236863651702483,0.11172530441877357,0.16320971432319534,0.1413631556254255,0.30171174,0.115380585,0.30273800999999995,0.11496360999999997,0.30755716,0.11687652,0.28834251000000005,0.10920819000000002,0.31388328,0.11934882000000002,0.29590965999999996,0.11226490499999998,0.43244082,0.19019847,0.36157912999999997,0.14161049499999995,0.5571936499999999,0.23314633499999998,0.36215801999999997,0.147408885
