ano;date;hour;round;home_team;score;away_team;placar_casa;placar_visitante;resultado;arena;state
2018;14/04/2018;;1;Ponte Preta-SP;0 X 1;Paysandu-PA;0.0;1.0;3;;
2018;14/04/2018;;1;Sampaio Corrêa-MA;2 X 0;Coritiba-PR;2.0;0.0;1;;
2018;14/04/2018;;1;Brasil de Pelotas-RS;1 X 1;São Bento-SP;1.0;1.0;2;;
2018;14/04/2018;;1;CSA-AL;2 X 1;Goias-GO;2.0;1.0;1;;
2018;14/04/2018;;1;Londrina-PR;1 X 0;Boa Esporte-MG;1.0;0.0;1;;
2018;14/04/2018;;1;Vila Nova-GO;1 X 0;Avaí-SC;1.0;0.0;1;;
2018;13/04/2018;;1;Figueirense-SC;2 X 1;Juventude-RS;2.0;1.0;1;;
2018;13/04/2018;;1;Atlético-GO;3 X 2;Criciúma-SC;3.0;2.0;1;;
2018;13/04/2018;;1;Oeste-SP;2 X 0;CRB-AL;2.0;0.0;1;;
2018;13/04/2018;;1;Fortaleza-CE;2 X 1;Guarani-SP;2.0;1.0;1;;
2018;21/04/2018;;2;Criciúma-SC;0 X 1;Ponte Preta-SP;0.0;1.0;3;;
2018;21/04/2018;;2;Avaí-SC;2 X 2;Brasil de Pelotas-RS;2.0;2.0;2;;
2018;21/04/2018;;2;CRB-AL;0 X 1;Vila Nova-GO;0.0;1.0;3;;
2018;21/04/2018;;2;Goias-GO;0 X 2;Figueirense-SC;0.0;2.0;3;;
2018;21/04/2018;;2;Guarani-SP;2 X 0;Sampaio Corrêa-MA;2.0;0.0;1;;
2018;20/04/2018;;2;Paysandu-PA;1 X 0;Londrina-PR;1.0;0.0;1;;
2018;20/04/2018;;2;São Bento-SP;2 X 1;CSA-AL;2.0;1.0;1;;
2018;20/04/2018;;2;Juventude-RS;1 X 1;Oeste-SP;1.0;1.0;2;;
2018;17/04/2018;;2;Coritiba-PR;1 X 0;Atlético-GO;1.0;0.0;1;;
2018;17/04/2018;;2;Boa Esporte-MG;0 X 2;Fortaleza-CE;0.0;2.0;3;;
2018;28/04/2018;;3;São Bento-SP;1 X 1;Goias-GO;1.0;1.0;2;;
2018;28/04/2018;;3;Ponte Preta-SP;0 X 1;Londrina-PR;0.0;1.0;3;;
2018;28/04/2018;;3;Juventude-RS;1 X 3;Avaí-SC;1.0;3.0;3;;
2018;28/04/2018;;3;Paysandu-PA;2 X 1;Brasil de Pelotas-RS;2.0;1.0;1;;
2018;28/04/2018;;3;Vila Nova-GO;3 X 1;Sampaio Corrêa-MA;3.0;1.0;1;;
2018;27/04/2018;;3;Coritiba-PR;2 X 1;Criciúma-SC;2.0;1.0;1;;
2018;27/04/2018;;3;CSA-AL;5 X 1;Oeste-SP;5.0;1.0;1;;
2018;27/04/2018;;3;Figueirense-SC;2 X 0;Boa Esporte-MG;2.0;0.0;1;;
2018;24/04/2018;;3;Fortaleza-CE;3 X 1;CRB-AL;3.0;1.0;1;;
2018;24/04/2018;;3;Atlético-GO;3 X 2;Guarani-SP;3.0;2.0;1;;
2018;05/05/2018;;4;Guarani-SP;2 X 3;Ponte Preta-SP;2.0;3.0;3;;
2018;05/05/2018;;4;Avaí-SC;1 X 1;São Bento-SP;1.0;1.0;2;;
2018;05/05/2018;;4;Goias-GO;1 X 3;Vila Nova-GO;1.0;3.0;3;;
2018;04/05/2018;;4;Oeste-SP;1 X 1;Coritiba-PR;1.0;1.0;2;;
2018;04/05/2018;;4;CRB-AL;3 X 1;Atlético-GO;3.0;1.0;1;;
2018;04/05/2018;;4;Sampaio Corrêa-MA;1 X 1;Paysandu-PA;1.0;1.0;2;;
2018;01/05/2018;;4;Brasil de Pelotas-RS;1 X 0;Figueirense-SC;1.0;0.0;1;;
2018;01/05/2018;;4;Londrina-PR;1 X 1;Fortaleza-CE;1.0;1.0;2;;
2018;01/05/2018;;4;Boa Esporte-MG;1 X 2;Juventude-RS;1.0;2.0;3;;
2018;01/05/2018;;4;Criciúma-SC;1 X 3;CSA-AL;1.0;3.0;3;;
2018;13/05/2018;;5;Vila Nova-GO;0 X 0;Ponte Preta-SP;0.0;0.0;2;;
2018;12/05/2018;;5;Fortaleza-CE;3 X 0;Goias-GO;3.0;0.0;1;;
2018;12/05/2018;;5;CSA-AL;1 X 0;Boa Esporte-MG;1.0;0.0;1;;
2018;12/05/2018;;5;Figueirense-SC;0 X 1;Avaí-SC;0.0;1.0;3;;
