Ano,Rodada,home_team,away_team,placar_casa,placar_visitante,resultado,FS_h,FT_h,FD_h,FF_h,RB_h,FC_h,CA_h,FinC_h,Finalizacoes_h,FS_a,FT_a,FD_a,FF_a,RB_a,FC_a,CA_a,FinC_a,Finalizacoes_a,Proporcao_C_h,Proporcao_Tot_h,Proporcao_C_a,Proporcao_Tot_a,resultado_v
2014,1,São Paulo,Botafogo,3.0,0.0,1,22.0,0.0,5.0,2.0,15.0,16.0,1.0,5.0,7.0,17.0,0.0,5.0,3.0,10.0,22.0,2.0,5.0,8.0,0.6,0.42857142857142855,0.0,0.0,[1 0 0]
2014,1,Atlético-PR,Grêmio,1.0,0.0,1,14.0,0.0,0.0,3.0,11.0,17.0,1.0,1.0,4.0,17.0,0.0,5.0,8.0,12.0,15.0,2.0,5.0,13.0,1.0,0.25,0.0,0.0,[1 0 0]
2014,1,Atlético-MG,Corinthians,0.0,0.0,2,13.0,0.0,3.0,3.0,6.0,16.0,0.0,3.0,6.0,15.0,0.0,3.0,7.0,18.0,14.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,[0 1 0]
2014,1,Bahia,Cruzeiro,1.0,2.0,3,20.0,0.0,6.0,4.0,14.0,15.0,4.0,6.0,10.0,14.0,1.0,2.0,8.0,11.0,20.0,4.0,3.0,11.0,0.16666666666666666,0.1,0.6666666666666666,0.18181818181818182,[0 0 1]
2014,1,Flamengo,Goiás,0.0,0.0,2,12.0,0.0,4.0,3.0,12.0,14.0,4.0,4.0,7.0,12.0,0.0,6.0,3.0,7.0,11.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,[0 1 0]
2014,1,Fluminense,Figueirense,3.0,0.0,1,12.0,1.0,8.0,5.0,10.0,15.0,0.0,9.0,14.0,15.0,0.0,1.0,3.0,11.0,12.0,2.0,1.0,4.0,0.3333333333333333,0.21428571428571427,0.0,0.0,[1 0 0]
2014,1,Santos,Sport,1.0,1.0,2,21.0,2.0,7.0,10.0,13.0,20.0,1.0,9.0,19.0,20.0,0.0,2.0,5.0,6.0,22.0,3.0,2.0,7.0,0.1111111111111111,0.05263157894736842,0.5,0.14285714285714285,[0 1 0]
2014,1,Internacional,Vitória,1.0,0.0,1,16.0,1.0,3.0,11.0,12.0,17.0,2.0,4.0,15.0,15.0,0.0,2.0,4.0,15.0,18.0,3.0,2.0,6.0,0.25,0.06666666666666667,0.0,0.0,[1 0 0]
2014,1,Criciúma,Palmeiras,1.0,2.0,3,15.0,0.0,6.0,4.0,14.0,13.0,3.0,6.0,10.0,11.0,0.0,3.0,6.0,7.0,15.0,5.0,3.0,9.0,0.16666666666666666,0.1,0.6666666666666666,0.2222222222222222,[0 0 1]
2014,1,Chapecoense,Coritiba,0.0,0.0,2,25.0,0.0,4.0,3.0,12.0,27.0,0.0,4.0,7.0,26.0,0.0,5.0,6.0,9.0,25.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,[0 1 0]
